summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,time_first_observed,violation_county,violation_in_front_of_or_opposite,house_number,street_name,intersecting_street,date_first_observed,law_section,sub_division,violation_legal_code,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_post_code,violation_description,no_standing_or_stopping_violation,hydrant_violation,double_parking_violation,vehicle_color_standard,borough,hour,day_of_week,year,month,restriction_start_hour,month_name
9144220133,42322ND,NY,COM,2024-07-23,69,VAN,FORD,T,17250,10410,32645,20260131,6.0,6,6,368486,T102,K,0954A,,NY,F,13,E 13TH ST,,0.0,408.0,H1,,YYYYYY,0700A,0700P,WH,,2023.0,103400,0.0,10.0,69-FAIL TO DSP PRKING MTR RCPT,,,,WHITE,Manhattan,9.0,Tuesday,2024,7,7.0,July
4903893820,KDD2618,NY,PAS,2024-06-21,36,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0934P,,QN,,,NB BROOKVILLE BLVD @,128TH AVE,0.0,1180.0,B,T,,,,GY,,2022.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Queens,9.0,Friday,2024,6,,June
9137577001,JCM3675,NY,PAS,2024-07-09,40,PICK,TOYOT,T,9290,10790,10690,20241018,108.0,108,108,371249,T401,I,0727A,,Q,F,50-14,39TH ST,,0.0,408.0,E2,,YYYYYYY,,,RED,,2008.0,,4.0,36.0,40-FIRE HYDRANT,,,,RED,Queens,7.0,Tuesday,2024,7,,July
4908831531,HFX3099,NY,PAS,2024-07-22,36,SUBN,LEXUS,V,0,13495,0,0,,0,0,0,,,1111A,,QN,,,EB QUEENS BLVD @ 66T,H RD,0.0,1180.0,B,T,,,,BK,,2021.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Queens,11.0,Monday,2024,7,,July
4906793757,KLM2763,NY,PAS,2024-07-10,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,1120A,,BK,,,SB MCDONALD AVE @ GR,EENWOOD AVE,0.0,1180.0,B,T,,,,BK,,2021.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Brooklyn,11.0,Wednesday,2024,7,,July
5135962920,KRZ9363,NY,PAS,2024-07-20,7,PICK,HONDA,V,0,0,0,0,,0,0,0,,,0158P,,BX,,,W FORDHAM RD (W/B) @,CEDAR AVE,0.0,1111.0,D,T,,,,BK,,2019.0,,0.0,,FAILURE TO STOP AT RED LIGHT,,,,BLACK,Bronx,1.0,Saturday,2024,7,,July
9138502148,78972ND,NY,COM,2024-07-01,14,VAN,FORD,T,59890,0,0,20250630,104.0,104,104,367937,T402,D,1136A,,Q,I,S,PUTNAM AVE,15ft W/of Fresh Pond,0.0,408.0,C,,YYYYYYY,,,WH,,2023.0,,0.0,29.0,14-NO STANDING,,,,WHITE,Queens,11.0,Monday,2024,7,,July
4907777371,Y206283C,NY,OMT,2024-07-16,36,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0625P,,MN,,,NB WEST ST @ CARLISL,E ST,0.0,1180.0,B,T,,,,YW,,2020.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,YELLOW,Manhattan,6.0,Tuesday,2024,7,,July
8954685791,5MEF19,MA,PAS,2024-07-05,21,4DSD,AUDI,T,18310,10210,13113,20248888,19.0,19,19,357327,T103,X,0751A,,NY,O,200,E 66TH ST,,0.0,408.0,D1,,YY YY,0730A,0800A,BLACK,,0.0,,0.0,,21-NO PARKING (STREET CLEAN),,,,BLACK,Manhattan,7.0,Friday,2024,7,7.0,July
4908683268,KFL8345,NY,PAS,2024-07-23,36,CONV,AUDI,V,0,0,0,0,,0,0,0,,,1136P,,BK,,,EB SANDS ST @ GOLD S,T,0.0,1180.0,B,T,,,,GY,,2015.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Brooklyn,11.0,Tuesday,2024,7,,July
9135032431,BH21398,CT,PAS,2024-06-29,40,4DSD,CHEVR,T,15220,0,0,20248888,49.0,49,49,375321,T201,P,1257P,,BX,I,E,BRONX PARK EAST,2ft N/of Lydig Ave,0.0,408.0,E2,,YYYYYYY,,,BLUE,,0.0,,2.0,11.0,40-FIRE HYDRANT,,,,BLUE,Bronx,12.0,Saturday,2024,6,,June
9133077654,JGM5204,PA,PAS,2024-06-28,17,4DSD,VOLKS,T,22030,67830,22680,88888888,60.0,60,60,374573,T302,O,0859A,,K,F,3047,BRIGHTON 6TH ST,,0.0,408.0,C4,,YYYYYY,0800A,0600P,BLACK,,0.0,,0.0,41.0,17-NO STAND (EXC AUTH VEH),,,,BLACK,Brooklyn,8.0,Friday,2024,6,8.0,June
9142790426,77918MK,NY,COM,2024-07-17,37,VAN,FORD,T,25390,18810,18820,20251231,19.0,19,19,370328,T103,F,0109P,1126A,NY,F,1291,MADISON AVE,,0.0,408.0,H1,,YYYYYY,0800A,0700P,WH,,2017.0,114115,0.0,15.0,37-EXPIRED PARKING METER,,,,WHITE,Manhattan,1.0,Wednesday,2024,7,8.0,July
9141360874,KPT8268,NY,PAS,2024-07-08,46,4DSD,ACURA,T,37270,11710,12010,20250718,33.0,33,33,368922,T103,M,0142P,,NY,F,514,W 176TH ST,,0.0,408.0,F1,,YYYYYYY,,,BL,,0.0,,0.0,,46A-DOUBLE PARKING (NON-COM),,,,BLACK,Manhattan,1.0,Monday,2024,7,,July
9140252735,36128NC,NY,COM,2024-07-10,82,VAN,ME/BE,T,35690,9140,9340,20231231,111.0,111,111,371214,T401,H,0417P,,Q,F,39-24,BELL BLVD,,0.0,408.0,K1,,YYYYYYY,,,WH,,2021.0,,0.0,,82-UNALTERED COMMERC VEHICLE,,,,WHITE,Queens,4.0,Wednesday,2024,7,,July
1496921306,HET095,MI,PAS,2024-06-15,98,SDN,TOYOT,P,23640,19990,20140,0,103.0,103,103,968289,0103,0000,0200A,,Q,O,107-07,155 ST,,0.0,408.0,C,,BBBBBBB,ALL,ALL,TAN,0.0,0.0,-,0.0,,,,,,BROWN,Queens,2.0,Saturday,2024,6,,June
9136915907,19172NA,NY,COM,2024-07-02,38,VAN,FORD,T,10510,32660,14910,20240831,1.0,1,1,376201,T105,X,1010A,,NY,F,185,6TH AVE,,0.0,408.0,H1,,YYYYYY,0730A,0700P,WH,,2020.0,102286,0.0,10.0,38-FAILURE TO DSPLAY METER REC,,,,WHITE,Manhattan,10.0,Tuesday,2024,7,7.0,July
9141195942,LBM8997,NY,PAS,2024-07-12,21,SUBN,BMW,T,19040,0,0,20250526,112.0,112,112,363517,T402,B,0806A,,Q,I,S,97TH ST,30ft W/of 63rd Dr,0.0,408.0,D1,,YYYYYY,0800A,0830A,WH,,2016.0,,0.0,9.0,21-NO PARKING (STREET CLEAN),,,,WHITE,Queens,8.0,Friday,2024,7,8.0,July
9138372370,AZ584B,NJ,PAS,2024-07-16,20,TRAC,FRUEH,T,10910,0,0,20248888,34.0,34,34,361282,T103,L,0808P,,NY,I,E,9TH AVE,7ft S/of W 202nd St,0.0,408.0,D,,YYYYYYY,,,WHITE,,0.0,,0.0,,20-NO PARKING (COM PLATE),,,,WHITE,Manhattan,8.0,Tuesday,2024,7,,July
4907137308,LEY4658,NY,OMS,2024-07-11,36,SUBN,VOLKS,V,0,0,0,0,,0,0,0,,,0948P,,MN,,,SB 9TH AVE @ W 28TH,ST,0.0,1180.0,B,T,,,,WH,,2024.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Manhattan,9.0,Thursday,2024,7,,July
9137078367,KTY7317,NY,PAS,2024-07-08,21,4DSD,HONDA,T,24430,43330,42730,20251104,88.0,88,88,374569,T301,U,1159A,,K,O,109,CAMBRIDGE PL,,0.0,408.0,D1,,Y,1130A,0100P,GY,,2012.0,,0.0,6.0,21-NO PARKING (STREET CLEAN),,,,GREY,Brooklyn,11.0,Monday,2024,7,11.0,July
4907882452,CLSYMOM6,NY,SRF,2024-07-18,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0851A,,ST,,,SB ROSSVILLE AVE. MA,SON BLVD. - WOODROW,0.0,1180.0,B,T,,,,WH,,2024.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Staten Island,8.0,Thursday,2024,7,,July
9138172215,T774133C,NY,OMT,2024-07-01,71,4DSD,TOYOT,T,20940,0,0,20250228,102.0,102,102,357760,T402,C,0842A,,Q,I,E,116TH ST,30ft S/of 101st Ave,0.0,408.0,J6,,YYYYYYY,,,GY,,2014.0,,0.0,39.0,71A-INSP STICKER EXPIRED (NYS),,,,GREY,Queens,8.0,Monday,2024,7,,July
9137575120,KVS3238,NY,PAS,2024-06-27,71,SUBN,TOYOT,T,6940,9640,9790,20260414,114.0,114,114,371249,T401,I,0803A,,Q,F,41-03,23RD AVE,,0.0,408.0,J6,,YYYYYYY,,,BK,,2022.0,,0.0,24.0,71A-INSP STICKER EXPIRED (NYS),,,,BLACK,Queens,8.0,Thursday,2024,6,,June
4905781644,KYA7107,NY,PAS,2024-07-06,36,SUBN,KIA,V,10210,40404,40404,0,,0,0,0,,,1037A,,BK,,,NB 3RD AVE @ 41ST ST,,0.0,1180.0,B,T,,,,GY,,2017.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Brooklyn,10.0,Saturday,2024,7,,July
1495821092,LJP8427,NY,PAS,2024-06-21,46,SDN,TOYOT,P,0,40404,40404,20260204,67.0,67,67,975742,0067,0000,0654P,,NY,F,854,ROGERS,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,GRAY,0.0,2005.0,-,0.0,,,,,,GREY,Manhattan,6.0,Friday,2024,6,,June
4908108122,LJA2114,NY,PAS,2024-07-18,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0612P,,QN,,,EB UNION TPKE @ KENT,ST,0.0,1180.0,B,T,,,,WH,,2020.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Queens,6.0,Thursday,2024,7,,July
1489599824,JNZ2012,NY,PAS,2024-06-17,17,SDN,MAZDA,O,80330,26730,67047,20260217,77.0,77,0,0,COTA,0000,0750A,0700A,K,F,541,ST JOHNS PLACE,,0.0,408.0,C4,,YYYYYBB,0700A,0700P,WHT,0.0,2014.0,-,0.0,,,,,,WHITE,Brooklyn,7.0,Monday,2024,6,7.0,June
4905883404,JPE5777,NY,PAS,2024-07-08,36,SUBN,DODGE,V,0,40404,40404,0,,0,0,0,,,1005P,,QN,,,SB 21ST ST @ 31ST DR,,0.0,1180.0,B,T,,,,BK,,2015.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Queens,10.0,Monday,2024,7,,July
4906493660,KMW8619,NY,PAS,2024-07-07,36,4DSD,SUBAR,V,0,0,0,0,,0,0,0,,,0624P,,QN,,,SB NORTHERN BLVD @ B,ROWVALE LN,0.0,1180.0,B,T,,,,BL,,2024.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Queens,6.0,Sunday,2024,7,,July
9141711210,W74LTC,NJ,PAS,2024-07-11,21,4DSD,TOYOT,T,6180,9030,9080,88888888,66.0,66,66,373723,T302,A,0904A,,K,F,4904,11TH AVE,,0.0,408.0,D1,,Y,0830A,1000A,BLACK,,0.0,,0.0,1.0,21-NO PARKING (STREET CLEAN),,,,BLACK,Brooklyn,9.0,Thursday,2024,7,8.0,July
4907566888,JRA8578,NY,PAS,2024-07-15,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0503P,,BX,,,SB MELROSE AVE @ E 1,65TH ST,0.0,1180.0,B,T,,,,WH,,2013.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Bronx,5.0,Monday,2024,7,,July
4904191614,LHA5048,NY,PAS,2024-06-25,36,SUBN,VOLKS,V,0,0,0,0,,0,0,0,,,0156A,,BK,,,WB N. CONDUIT BLVD @,76TH ST,0.0,1180.0,B,T,,,,WH,,2022.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Brooklyn,1.0,Tuesday,2024,6,,June
5135645585,AGP4643,NY,PAS,2024-07-04,7,SUBN,INFIN,V,0,0,0,0,,0,0,0,,,1042A,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,0.0,1111.0,D,T,,,,GY,,2023.0,,0.0,,FAILURE TO STOP AT RED LIGHT,,,,GREY,Queens,10.0,Thursday,2024,7,,July
4906053944,MGA5843,PA,PAS,2024-07-07,36,SW,HYUND,V,0,0,0,0,,0,0,0,,,1154P,,BK,,,WB ATLANTIC AVE @ CL,ASSON AVE,0.0,1180.0,B,T,,,,,,2016.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,,Brooklyn,11.0,Sunday,2024,7,,July
4908584084,HUK8238,NY,PAS,2024-07-19,36,4DSD,LEXUS,V,0,0,0,0,,0,0,0,,,1246P,,BK,,,NB RALPH AVE @ BEVER,LEY RD,0.0,1180.0,B,T,,,,WH,,2020.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Brooklyn,12.0,Friday,2024,7,,July
4904018795,HXV5529,NY,PAS,2024-06-26,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,1132A,,ST,,,SB WILLOW RD W @ FOR,EST AVE,0.0,1180.0,B,T,,,,BK,,2021.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Staten Island,11.0,Wednesday,2024,6,,June
4904556185,FCM6302,NY,PAS,2024-06-26,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0512P,,QN,,,NB QUEENS BLVD @ 77T,H AVE,0.0,1180.0,B,T,,,,GY,,2017.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Queens,5.0,Wednesday,2024,6,,June
9141381683,KAS2009,NY,PAS,2024-07-24,71,SUBN,HONDA,T,59720,76950,12620,20250327,43.0,43,43,370766,T201,J,1209P,,BX,F,1307,PUGSLEY AVE,,0.0,408.0,J6,,YYYYYYY,,,GY,,2018.0,,0.0,3.0,71A-INSP STICKER EXPIRED (NYS),,,,GREY,Bronx,12.0,Wednesday,2024,7,,July
9141536060,LFN9595,NY,OMS,2024-07-12,37,SUBN,CADIL,T,17270,12210,12310,20240930,9.0,9,9,374644,T102,T,0515P,0238P,NY,F,602,E 14TH ST,,0.0,408.0,H1,,YYYYYY,0800A,0700P,WH,,2023.0,101690,0.0,1.0,37-EXPIRED PARKING METER,,,,WHITE,Manhattan,5.0,Friday,2024,7,8.0,July
9131228422,FRL2096,NY,PAS,2024-06-29,21,SUBN,VOLKS,T,59990,15190,15390,20250627,112.0,112,112,367371,T402,M,0851A,,Q,F,110-45,QUEENS BLVD,,0.0,408.0,D1,,YYYYYY,0830A,0900A,GY,,2022.0,,0.0,4.0,21-NO PARKING (STREET CLEAN),,,,GREY,Queens,8.0,Saturday,2024,6,8.0,June
9136933363,KNY4745,NY,PAS,2024-07-08,10,SUBN,TOYOT,T,24390,32900,14010,20250719,5.0,5,5,370747,T105,H,0249P,,NY,O,110,LAFAYETTE ST,,0.0,408.0,B,,YYYYYYY,,,BK,,2020.0,,0.0,51.0,10-NO STOPPING,,,,BLACK,Manhattan,2.0,Monday,2024,7,,July
9143771294,EPQQ88,FL,PAS,2024-07-16,40,4DSD,NISSA,T,35630,29630,33530,20160988,70.0,70,70,346022,T302,K,0348P,,K,F,385,E 18TH ST,,0.0,408.0,E2,,YYYYYYY,,,BLACK,,0.0,,0.0,,40-FIRE HYDRANT,,,,BLACK,Brooklyn,3.0,Tuesday,2024,7,,July
4907171316,KZV4875,NY,PAS,2024-07-12,36,PICK,GMC,V,0,0,0,0,,0,0,0,,,0133P,,ST,,,NB HYLAN BLVD @ W FI,NGERBOARD RD,0.0,1180.0,B,T,,,,BK,,2023.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,BLACK,Staten Island,1.0,Friday,2024,7,,July
9141550626,88535NB,NY,COM,2024-07-10,20,VAN,RAM,T,44890,45090,13310,20250930,6.0,6,6,362193,T102,S,0914A,,NY,F,506,LAGUARDIA PL,,0.0,408.0,D,,YYYYY,0800A,0600P,BK,,2021.0,,0.0,99.0,20-NO PARKING (COM PLATE),,,,BLACK,Manhattan,9.0,Wednesday,2024,7,8.0,July
9139681373,KWC9530,NY,PAS,2024-07-03,70,SUBN,JEEP,T,17170,10110,10010,20240519,9.0,9,9,378278,T102,I,1125A,,NY,F,324,E 9TH ST,,0.0,408.0,J3,,YYYYYYY,,,GR,,0.0,,0.0,3.0,70A-REG. STICKER EXPIRED (NYS),,,,GREEN,Manhattan,11.0,Wednesday,2024,7,,July
9144680624,S1930899,GA,PAS,2024-07-24,14,4DSD,LEXUS,T,22930,22630,32600,20240788,60.0,60,60,367382,T302,I,0103P,,K,F,1511,BRIGHTWATER AVE,,0.0,408.0,C,,YYYYYYY,,,WHITE,,0.0,,0.0,41.0,14-NO STANDING,,,,WHITE,Brooklyn,1.0,Wednesday,2024,7,,July
4906969574,KXH1632,NY,OMS,2024-07-12,36,SUBN,FORD,V,0,13550,0,0,,0,0,0,,,0154P,,BK,,,NB FLATBUSH AVE EXT,@ BRIDGE ST,0.0,1180.0,B,T,,,,GY,,2022.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Brooklyn,1.0,Friday,2024,7,,July
9139047878,4FGB43,MA,PAS,2024-07-23,38,4DSD,CHEVR,T,25270,0,0,20260388,107.0,107,107,368916,T402,C,0943A,,Q,I,W,189TH ST,25ft S/of Union Turn,0.0,408.0,H1,,YYYYYY,0900A,0700P,WHITE,,0.0,440917,0.0,42.0,38-FAILURE TO DSPLAY METER REC,,,,WHITE,Queens,9.0,Tuesday,2024,7,9.0,July
9142373440,KYJ2057,NY,PAS,2024-07-22,19,SUBN,FORD,T,34510,0,0,20241006,14.0,14,14,363132,T106,O,0721A,,NY,I,N,W 37TH ST,10ft E/of Broadway,0.0,408.0,C3,,YYYYYYY,,,RD,,2022.0,,0.0,32.0,19-NO STAND (BUS STOP),,,,RED,Manhattan,7.0,Monday,2024,7,,July
8925934395,84299MJ,NY,COM,2024-07-17,69,VAN,FORD,T,17990,10410,25390,20250531,18.0,18,18,355444,T106,C,1224P,,NY,O,2,E 50TH ST,,0.0,408.0,H1,,YYYYY,0700A,0600P,WH,,2017.0,104287,0.0,99.0,69-FAIL TO DSP PRKING MTR RCPT,,,,WHITE,Manhattan,12.0,Wednesday,2024,7,7.0,July
9141447335,KTY2620,NY,PAS,2024-07-18,21,4DSD,HONDA,T,42630,10880,10980,20251208,68.0,68,68,366491,T302,H,1159A,,K,O,8602,FORT HAMILTON PKWY,,0.0,408.0,D1,,Y,1130A,0100P,GY,,2006.0,,0.0,21.0,21-NO PARKING (STREET CLEAN),,,,GREY,Brooklyn,11.0,Thursday,2024,7,11.0,July
9142351832,KHY3493,NY,PAS,2024-07-13,14,2DSD,SMART,T,34390,10510,10610,20250725,14.0,14,14,370291,T102,A,1014A,,NY,F,132,W 31ST ST,,0.0,408.0,C,,YYYYYYY,,,WH,,2016.0,,0.0,,14-NO STANDING,,,,WHITE,Manhattan,10.0,Saturday,2024,7,,July
4907088590,DEVILX,CT,PAS,2024-07-11,36,SPOR,FORD,V,0,0,0,0,,0,0,0,,,0904A,,BK,,,NB KNAPP ST @ ALLEN,AVE,0.0,1180.0,B,T,,,,,,2002.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,,Brooklyn,9.0,Thursday,2024,7,,July
4906234306,LJG5785,NY,PAS,2024-07-07,36,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0427P,,BK,,,EB JOHNSON AVE @ WHI,TE ST,0.0,1180.0,B,T,,,,GY,,2020.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Brooklyn,4.0,Sunday,2024,7,,July
9139945376,XHEX82,NJ,PAS,2024-07-02,47,DELV,INTER,T,25390,17550,17570,88888888,13.0,13,13,371766,T102,S,0330P,,NY,F,80,MADISON AVE,,0.0,408.0,L2,,YYYYYY,0700A,0700P,WHITE,,0.0,,0.0,99.0,47-DOUBLE PKG-MIDTOWN(COM VEH),,,,WHITE,Manhattan,3.0,Tuesday,2024,7,7.0,July
4037802661,KDR3083,NY,PAS,2024-06-30,5,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0144P,,QN,,,WB JAMAICA AVE @ PAR,SONS BLVD,0.0,1111.0,C,T,,,,GY,,2003.0,,0.0,,BUS LANE VIOLATION,,,,GREY,Queens,1.0,Sunday,2024,6,,June
9139432245,3105791,IN,PAS,2024-07-02,48,DELV,INTER,T,33890,25190,10510,88888888,6.0,6,6,373265,T102,I,1209P,,NY,F,134,W 3RD ST,,0.0,408.0,E9,,YYYYYYY,,,WHITE,,0.0,,0.0,22.0,48-BIKE LANE,,,,WHITE,Manhattan,12.0,Tuesday,2024,7,,July
